range,number,percentage(%),cumulative-percentage(%)
"[0, 10]",1103032,0.72,0.72
"[11, 50]",9192701,5.99,6.71
"[51, 100]",15691267,10.23,16.94
"[101, 200]",33759245,22.01,38.95
"[201, 500]",49972885,32.58,71.52
"[501, 1024]",19843834,12.94,84.46
"[1025, 2048]",11070542,7.22,91.67
"[2049, 4096]",6568231,4.28,95.95
"[4097, 8192]",4588038,2.99,98.95
"[8193, 12288]",1029929,0.67,99.62
"[12289, 16384]",289899,0.19,99.81
"[16385, 24576]",159160,0.10,99.91
"[24577, 32768]",45191,0.03,99.94
"[32769, 49152]",33943,0.02,99.96
"[49153, 65536]",17976,0.01,99.97
"[65537, 131072]",30466,0.02,99.99
"[131073, 196608]",7054,0.00,99.99
"[196608, 393216]",2992,0.00,99.99
"[393216, 524288]",266,0.00,100.00
"[524288, 9323147]",422,0.00,100.00
