range,number,percentage(%),cumulative-percentage(%)
"[0, 10]",15144,0.06,0.06
"[11, 50]",544051,2.13,2.19
"[51, 100]",2113605,8.27,10.45
"[101, 200]",4353117,17.03,27.48
"[201, 500]",8399774,32.86,60.34
"[501, 1024]",5991350,23.44,83.77
"[1025, 2048]",2590745,10.13,93.91
"[2049, 4096]",906066,3.54,97.45
"[4097, 8192]",333593,1.3,98.76
"[8193, 12288]",82249,0.32,99.08
"[12289, 16384]",35834,0.14,99.22
"[16385, 24576]",60844,0.24,99.46
"[24577, 32768]",33893,0.13,99.59
"[32769, 49152]",51821,0.2,99.79
"[49153, 65536]",53497,0.21,100.0
